[2026-03-02 09:52:20] [app.main] [INFO] OpenHive backend starting up
[2026-03-02 09:52:35] [app.main] [INFO] OpenHive backend starting up
[2026-03-02 09:52:35] [app.main] [INFO] OpenHive backend shutting down
[2026-03-02 09:52:45] [app.main] [INFO] OpenHive backend shutting down
[2026-03-05 11:45:10] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:45:10] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 400 Bad Request"
[2026-03-05 11:45:10] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 400 Bad Request"
[2026-03-05 11:45:10] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:45:10] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:45:10] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:45:10] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:45:10] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:45:10] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:45:10] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events?resource_type=NOPE "HTTP/1.1 400 Bad Request"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events/00000000-0000-0000-0000-000000000099 "HTTP/1.1 404 Not Found"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: DELETE http://test/api/internal/audit-events/00000000-0000-0000-0000-000000000099 "HTTP/1.1 404 Not Found"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:45:11] [app.routes.cfn_proxy] [INFO] upsert_shared_memories workspace=ws1 mas=mas1 -> http://localhost:9003/api/knowledge/graphs
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://localhost:9003/api/knowledge/graphs "HTTP/1.1 201 Created"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://test/api/workspaces/ws1/multi-agentic-systems/mas1/shared-memories "HTTP/1.1 201 Created"
[2026-03-05 11:45:11] [app.routes.cfn_proxy] [INFO] upsert_shared_memories workspace=ws1 mas=mas1 -> http://localhost:9003/api/knowledge/graphs
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://localhost:9003/api/knowledge/graphs "HTTP/1.1 500 Internal Server Error"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://test/api/workspaces/ws1/multi-agentic-systems/mas1/shared-memories "HTTP/1.1 500 Internal Server Error"
[2026-03-05 11:45:11] [app.routes.cfn_proxy] [INFO] fetch_shared_memories workspace=ws1 mas=mas1 type=path -> http://localhost:9003/api/knowledge/graphs/query
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://localhost:9003/api/knowledge/graphs/query "HTTP/1.1 200 OK"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://test/api/workspaces/ws1/multi-agentic-systems/mas1/shared-memories/query "HTTP/1.1 200 OK"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://test/api/workspaces/ws1/multi-agentic-systems/mas1/shared-memories/query "HTTP/1.1 400 Bad Request"
[2026-03-05 11:45:11] [app.routes.cfn_proxy] [INFO] memory_operations POST http://mem-provider/v1/memories
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://mem-provider/v1/memories "HTTP/1.1 200 OK"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://test/api/workspaces/ws1/multi-agentic-systems/mas1/agents/agent1/memory-operations "HTTP/1.1 200 OK"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://test/api/workspaces/ws1/multi-agentic-systems/mas1/agents/agent1/memory-operations "HTTP/1.1 400 Bad Request"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://test/api/workspaces/ws1/multi-agentic-systems/mas1/agents/agent1/memory-operations "HTTP/1.1 404 Not Found"
[2026-03-05 11:45:11] [app.routes.cfn_proxy] [INFO] memory_operations GET http://mem-provider/v1/memories
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: GET http://mem-provider/v1/memories "HTTP/1.1 200 OK"
[2026-03-05 11:45:11] [httpx] [INFO] HTTP Request: POST http://test/api/workspaces/ws1/multi-agentic-systems/mas1/agents/agent1/memory-operations "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 400 Bad Request"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 400 Bad Request"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: GET http://test/api/internal/audit-events?resource_type=MAS "HTTP/1.1 200 OK"
[2026-03-05 11:48:12] [httpx] [INFO] HTTP Request: POST http://test/api/internal/audit-events "HTTP/1.1 200 OK"
